#{"t_start": 1776276655.5502203, "env_id": "None"}
r,l,t
-24.235018,500,2.813331
-62.872116,500,4.085706
-48.055459,500,5.898339
-52.61698,500,7.143759
-88.884176,500,8.983524
-67.389055,500,10.236669
-77.211419,500,12.104645
-85.993355,500,13.337461
-23.513497,500,15.116583
-70.499202,500,16.33278
-52.936081,500,18.091049
-29.242154,500,19.30325
-43.085857,500,21.085191
-46.042461,500,22.32871
-36.458106,500,24.149381
-26.266224,500,25.35134
-39.082846,500,27.130491
-96.887268,500,28.400892
-45.134799,500,29.886751
-46.740476,500,31.140485
-47.504331,500,32.975291
-39.748981,500,34.262595
-26.779153,500,36.035039
-13.023501,500,37.274069
-80.944398,500,39.109666
-30.886635,500,40.387583
-60.047983,500,42.184055
-39.824874,500,43.415884
-51.055293,500,45.265587
-26.597507,500,46.522419
-38.750574,500,48.360383
-63.152567,500,49.654557
-28.684203,500,51.489411
-31.205701,500,52.789589
-10.562929,500,54.6264
-13.973476,500,55.940486
-42.95452,500,57.792029
-6.771545,500,59.048856
2.251536,500,60.897317
-35.150744,500,62.172914
6.541024,500,64.068926
-11.111087,500,65.358505
2.304308,500,66.631265
-1.873883,500,68.47718
4.530217,500,69.780281
11.665491,500,71.658313
9.570975,500,72.944669
0.400898,500,74.854218
11.249142,500,76.14703
7.673039,500,77.990948
-9.366604,500,79.276456
18.448715,500,81.175643
13.683088,500,82.505511
16.211704,500,84.390993
26.286697,500,85.70236
9.156853,500,87.598194
4.092626,500,88.960865
8.308438,500,90.848733
8.390802,500,92.137268
29.504659,500,94.006051
12.608781,500,95.355284
33.977866,500,97.285025
12.714828,500,98.63139
12.433756,500,100.570062
-11.060029,500,101.871839
17.273484,500,103.776606
19.567759,500,105.099372
1.771796,500,106.952853
22.402895,500,108.281672
19.833529,500,110.215273
5.755892,500,111.571176
18.269575,500,113.516699
0.905831,500,114.843849
22.060702,500,116.771734
16.52953,500,118.087205
20.220211,500,120.019377
21.035098,500,121.413869
18.441731,500,123.342528
10.999748,500,124.680942
37.559325,500,126.631653
18.667513,500,127.964963
2.328817,500,129.88574
9.51618,500,131.257967
23.117954,500,133.268641
12.378047,500,134.637438
21.45866,500,135.936652
24.918312,500,137.903921
23.477718,500,139.307414
21.204752,500,141.244838
-12.399119,500,142.596676
16.311497,500,144.583137
24.161685,500,145.937754
15.638441,500,147.902912
23.807101,500,149.232506
27.226187,500,151.217865
13.98212,500,152.571974
17.196352,500,154.52555
19.185338,500,155.867472
17.518355,500,157.827479
20.669886,500,159.21381
23.548697,500,161.147087
14.289332,500,162.473405
25.031307,500,164.392668
26.140007,500,165.811271
15.643004,500,167.780475
1.432362,500,169.115731
10.851625,500,171.075501
40.993332,500,172.437766
29.056569,500,174.31984
20.638322,500,175.661321
18.294518,500,177.612031
14.168845,500,178.952192
13.033865,500,180.902395
9.573381,500,182.261778
26.263859,500,184.266089
17.322574,500,185.666185
22.295894,500,187.606584
5.406849,500,188.951039
20.496428,500,190.914121
29.980094,500,192.279755
-15.699721,500,194.244719
21.806202,500,195.635316
26.230577,500,197.572084
1.286943,500,198.910942
26.470678,500,200.80185
26.45282,500,202.142508
18.872446,500,204.131142
30.305122,500,205.471414
2.914327,500,206.768226
25.207501,500,208.717973
39.489112,500,210.017496
25.721397,500,212.004473
24.190298,500,213.310989
23.316859,500,215.255213
20.790741,500,216.640807
28.203007,500,218.595364
16.228899,500,219.939468
27.07645,500,221.955715
35.481279,500,223.277037
27.617368,500,225.214859
23.814033,500,226.560113
33.908317,500,228.476607
19.694514,500,229.848458
26.2664,500,231.756003
31.451557,500,233.150083
27.876531,500,235.089965
25.232075,500,236.407739
25.683385,500,238.467266
26.341808,500,239.879652
23.046024,500,241.959438
26.953549,500,243.302658
34.740157,500,245.262243
23.36384,500,246.611787
37.026062,500,248.594878
23.516828,500,249.95858
23.836005,500,251.892748
15.36358,500,253.22543
31.450817,500,255.174491
25.206671,500,256.565118
23.027233,500,258.496524
27.703878,500,259.857561
22.224381,500,261.840027
27.188703,500,263.20662
24.745503,500,265.180826
28.655265,500,266.522491
37.193027,500,268.476169
29.147962,500,269.829158
31.538912,500,271.756684
28.651072,500,273.147691
36.213299,500,275.114306
25.46953,500,276.488001
36.733938,500,277.795835
36.24792,500,279.734139
20.831902,500,281.074613
24.016749,500,283.05175
-7.142646,500,284.358144
25.893632,500,286.35284
4.168733,500,287.761523
24.337888,500,289.746242
29.245474,500,291.182673
25.498224,500,293.104278
32.199578,500,294.477105
37.265025,500,296.356639
29.59651,500,297.661969
23.258702,500,299.619094
46.202203,500,301.00416
34.75863,500,302.9545
28.742836,500,304.305087
37.19761,500,306.204828
35.503692,500,307.568732
29.329382,500,309.504659
43.132631,500,310.808972
14.917872,500,312.75074
36.414305,500,314.105435
37.228018,500,316.037181
36.735728,500,317.440861
28.734266,500,319.410913
34.127196,500,320.774164
36.914068,500,322.700251
15.28384,500,323.991278
47.89637,500,325.925992
31.792757,500,327.282941
28.528842,500,329.209663
36.088753,500,330.564174
49.551996,500,332.437173
16.986279,500,333.815725
19.078886,500,335.739411
30.253919,500,337.102932
30.642062,500,339.069103
47.47173,500,340.454313
31.427861,500,342.416881
31.309632,500,343.737014
26.94022,500,345.665603
41.019904,500,346.984938
-12.298313,500,348.305511
16.773038,500,350.306779
33.298658,500,351.61199
28.958644,500,353.579304
37.378461,500,354.941746
32.170952,500,356.892081
27.995466,500,358.273064
41.162604,500,360.176974
49.054391,500,361.473809
50.038005,500,363.358335
30.754927,500,364.684466
39.772974,500,366.645778
41.894512,500,367.987099
35.008113,500,369.89353
29.121103,500,371.263938
49.008149,500,373.15422
38.535933,500,374.4768
48.776106,500,376.427224
-3.006522,500,377.74308
42.729657,500,379.669883
44.1122,500,381.010988
38.780919,500,382.947841
40.928845,500,384.266615
38.48654,500,386.184846
40.271225,500,387.50309
40.672278,500,389.396774
41.977078,500,390.674141
29.550637,500,392.560207
36.465289,500,393.877389
41.772441,500,395.79948
27.999805,500,397.119316
35.500531,500,399.061285
67.430715,500,400.360304
37.771903,500,402.279443
50.997743,500,404.332596
43.669955,500,406.932225
26.474962,500,409.047261
56.223201,500,411.723067
28.058139,500,413.800099
49.016241,500,416.577868
31.067432,500,418.684406
44.486534,500,420.714448
40.458886,500,423.411383
42.130462,500,425.47937
47.511254,500,428.150129
37.764603,500,430.200562
29.062695,500,432.925993
8.427435,500,434.936628
39.237538,500,437.604824
48.508432,500,439.692085
51.335142,500,442.314502
32.147492,500,444.383643
45.177288,500,447.023931
37.99621,500,449.064798
38.332571,500,451.730529
35.273806,500,453.761939
40.43576,500,456.411688
54.839522,500,458.478754
40.355563,500,461.091002
46.564308,500,463.214476
51.884503,500,465.89531
45.555867,500,467.939537
43.559957,500,470.590075
47.943622,500,472.667498
32.012999,500,475.339636
59.925329,500,477.390535
57.813744,500,480.115066
49.078658,500,482.163186
49.152377,500,484.763067
42.791851,500,486.767694
37.996773,500,489.439921
51.520644,500,491.47186
6.049697,500,494.124987
53.990705,500,496.271435
11.349815,500,498.989466
48.113062,500,501.004711
39.341978,500,503.684109
30.564966,500,505.768876
46.364707,500,508.534539
47.450808,500,510.587338
46.973778,500,513.251955
52.26561,500,515.293365
48.166241,500,517.939245
50.985879,500,519.975182
37.225341,500,522.035407
41.546813,500,524.644916
55.558012,500,526.708188
53.06036,500,529.328483
43.289612,500,531.45788
49.810446,500,534.16804
28.391676,500,536.217231
51.014595,500,538.822054
33.531755,500,540.836433
56.5103,500,543.476217
61.011029,500,545.519972
56.215197,500,548.175004
59.000652,500,550.243414
46.268688,500,552.9168
48.829758,500,555.028439
68.495953,500,557.659931
54.216117,500,559.674189
45.741074,500,562.256765
70.568211,500,564.371583
54.154026,500,567.010892
54.556528,500,569.045833
51.905486,500,571.731616
45.251591,500,573.771924
61.046185,500,576.448555
54.711558,500,578.566913
41.791724,500,581.222686
29.816258,500,583.213592
49.007868,500,585.810068
47.956303,500,587.853853
53.445516,500,590.563676
45.520137,500,592.595158
43.267532,500,595.244459
43.375408,500,597.297066
60.27767,500,599.959336
42.679405,500,601.996216
53.777985,500,604.67243
38.045992,500,606.65524
48.2029,500,609.319219
51.810394,500,611.417644
53.218302,500,614.045278
54.143125,500,616.053231
14.489441,500,618.691805
54.528817,500,620.742622
62.861065,500,622.771199
59.042581,500,625.350082
41.753182,500,627.372885
45.759416,500,630.156868
51.754853,500,632.126184
55.771577,500,634.772844
53.695748,500,636.803875
40.393632,500,639.527782
35.438995,500,641.530193
46.310955,500,644.109021
58.611884,500,646.17434
59.495437,500,648.772918
53.909956,500,650.810713
31.149774,500,653.464066
59.282865,500,655.512769
51.933502,500,658.169492
32.99484,500,660.24862
54.093633,500,662.890118
56.501283,500,664.887455
19.891429,500,667.43298
38.737157,500,669.501191
52.917196,500,672.09437
63.462384,500,674.160884
51.624022,500,676.738742
76.241501,500,678.776692
59.277224,500,681.394599
46.282624,500,683.381759
37.654023,500,685.924139
61.662198,500,687.942632
55.184393,500,690.611942
44.994564,500,692.572025
33.013923,500,695.15712
54.547881,500,697.155282
64.638895,500,699.786083
17.288883,500,701.809856
21.515269,500,704.44193
48.021141,500,706.436057
34.926658,500,709.018644
54.725382,500,711.015658
44.384467,500,713.648179
56.275848,500,715.69431
44.666379,500,718.332713
44.892283,500,720.386205
50.212332,500,722.429787
47.807592,500,725.039995
13.606557,500,727.0458
61.007035,500,729.724056
49.497641,500,731.758448
53.62672,500,734.333996
52.862379,500,736.427608
27.52199,500,739.019401
75.544833,500,741.014187
59.191163,500,743.620531
54.974573,500,745.672836
59.78729,500,748.266634
49.803004,500,750.320856
48.712692,500,752.909875
32.761693,500,754.891565
38.757133,500,757.475687
53.394772,500,759.523296
58.361027,500,762.09547
71.194083,500,764.145883
52.321248,500,766.759757
44.712872,500,768.712509
61.040133,500,771.333181
59.067733,500,773.371935
55.660621,500,776.008942
48.463279,500,777.994475
55.220302,500,780.596066
54.743604,500,782.562259
45.294609,500,785.160935
69.622555,500,787.187988
51.914614,500,789.838774
46.643915,500,791.864578
64.873457,500,794.490237
73.817484,500,796.467548
66.630642,500,799.049952
52.5141,500,801.098979
57.019337,500,803.730832
47.383392,500,805.675388
5.469207,500,808.226979
43.201107,500,810.212851
44.465261,500,812.762517
51.989953,500,814.846949
40.124759,500,817.450151
57.068789,500,819.362219
62.045128,500,821.352607
53.983273,500,823.96148
53.547429,500,825.986502
59.532563,500,828.598498
52.599048,500,830.61762
55.24482,500,833.385833
52.92119,500,835.427392
48.970382,500,838.118562
51.395138,500,840.136777
58.725117,500,842.717378
80.392985,500,844.691974
50.681065,500,847.28607
60.911233,500,849.305498
50.062033,500,851.854129
58.46341,500,853.906681
70.721507,500,856.478562
63.846835,500,858.422064
64.051482,500,861.083811
58.456538,500,863.06917
52.317476,500,865.65921
60.434946,500,867.663473
42.452359,500,870.222413
53.856394,500,872.298813
64.506754,500,874.951358
71.776777,500,877.038544
52.01008,500,879.660359
51.776764,500,881.736427
49.053335,500,884.319451
56.696324,500,886.347239
59.917025,500,888.889541
58.018363,500,891.07318
47.873858,500,893.643113
41.473067,500,895.638494
49.799955,500,898.303038
78.278665,500,900.284109
50.543287,500,902.893093
68.288828,500,904.862623
57.858422,500,907.415778
36.034185,500,909.460703
38.687007,500,912.079487
60.563843,500,914.09412
40.91419,500,916.674413
56.271692,500,918.689288
69.037095,500,920.744437
61.571272,500,923.370985
9.54759,500,925.431877
43.720677,500,927.989401
73.540412,500,929.983215
46.264437,500,932.599509
32.212767,500,934.631017
40.199298,500,937.38185
55.068063,500,939.382492
54.708522,500,942.074897
42.388831,500,944.00529
54.525033,500,946.550959
56.529653,500,948.560208
30.226838,500,951.20015
39.890591,500,953.247577
56.300129,500,955.803454
69.525104,500,957.813276
57.138625,500,960.425488
56.685162,500,962.444003
57.309979,500,965.098187
79.714046,500,967.068644
59.999595,500,969.637926
55.69087,500,971.654723
63.151324,500,974.282038
49.392896,500,976.385938
62.679174,500,979.048811
55.431151,500,981.028583
63.216048,500,983.607589
66.001108,500,985.600573
76.384892,500,988.226842
58.702677,500,990.265312
68.583249,500,992.859433
75.024423,500,994.883503
54.1597,500,997.507479
49.470257,500,999.538907
67.993056,500,1002.350523
67.676429,500,1004.367671
53.449414,500,1007.010585
58.961864,500,1009.074728
75.26734,500,1011.689735
63.060995,500,1013.716303
63.800649,500,1015.772934
59.72284,500,1018.349541
55.553637,500,1020.400382
61.777082,500,1023.102125
29.677443,500,1025.084823
58.978547,500,1027.691349
57.228888,500,1029.709868
46.336833,500,1032.303512
58.671925,500,1034.32299
62.75444,500,1036.979367
72.937321,500,1038.986566
71.990452,500,1041.65776
54.940851,500,1043.671126
55.76025,500,1046.363696
37.047923,500,1048.37115
68.311117,500,1050.953389
57.71413,500,1053.048325
58.083736,500,1055.611631
49.127652,500,1057.648113
57.684833,500,1060.285858
76.324479,500,1062.328159
62.475823,500,1064.933304
39.342184,500,1066.977283
59.142055,500,1069.828833
55.84272,500,1071.821399
64.767829,500,1074.429258
65.376455,500,1076.425407
62.552793,500,1079.126862
54.062277,500,1081.10444
65.864641,500,1083.733171
58.23345,500,1085.655401
43.627601,500,1088.19315
53.642305,500,1090.222167
57.846694,500,1092.862455
46.742408,500,1094.86326
42.873542,500,1097.47442
84.404383,500,1099.457748
49.971384,500,1102.029269
69.026012,500,1104.028973
77.738925,500,1106.699911
26.223156,500,1108.747032
58.720345,500,1111.319031
45.00692,500,1113.400077
63.78725,500,1115.344779
46.15691,500,1117.977448
53.925137,500,1119.972052
54.242892,500,1122.582271
55.902814,500,1124.642028
58.75642,500,1127.252263
56.98754,500,1129.260809
55.630355,500,1131.870605
69.975667,500,1133.87147
53.581727,500,1136.453162
63.700633,500,1138.41173
22.671314,500,1141.090952
76.46313,500,1143.155058
35.650216,500,1145.712477
65.298005,500,1147.696512
63.791365,500,1150.316263
60.977818,500,1152.335637
60.031709,500,1154.902413
69.781402,500,1156.863678
62.056605,500,1159.595887
66.931301,500,1161.550335
58.779803,500,1164.078697
61.468761,500,1166.131194
54.494061,500,1168.676316
56.306311,500,1170.656348
48.662088,500,1173.276644
59.253639,500,1175.314806
62.56767,500,1177.96044
78.699935,500,1179.952572
41.056044,500,1182.586243
61.996127,500,1184.639484
59.022936,500,1187.209607
62.91902,500,1189.411785
68.540433,500,1192.055212
49.83587,500,1194.179584
57.743611,500,1196.81432
73.554842,500,1198.803321
58.250369,500,1201.455351
58.037401,500,1203.374929
80.396851,500,1206.006618
58.030167,500,1207.989091
73.951013,500,1210.598599
52.088609,500,1212.549464
