#{"t_start": 1776276655.5530179, "env_id": "None"}
r,l,t
-88.581618,500,2.811519
-21.960633,500,4.084124
-76.009149,500,5.896591
-47.735431,500,7.142067
-79.22784,500,8.982186
-75.121623,500,10.234929
-44.581705,500,12.102902
-76.787585,500,13.335703
-70.638142,500,15.115408
4.00064,500,16.331297
-26.282597,500,18.089372
-74.157364,500,19.301668
-25.963899,500,21.083426
-25.362337,500,22.327446
-22.824757,500,24.147641
-36.98627,500,25.349584
-32.294736,500,27.128724
-38.198952,500,28.399138
-55.389134,500,29.885064
-39.622907,500,31.139264
-33.865575,500,32.973543
-51.434197,500,34.2613
-44.112427,500,36.033381
-21.6114,500,37.272774
-72.069534,500,39.107908
-29.633235,500,40.386479
-80.253696,500,42.182239
-67.067673,500,43.414104
-48.832261,500,45.263864
-10.315982,500,46.520809
-21.734278,500,48.359238
-27.444212,500,49.653424
-20.113826,500,51.487662
-6.581069,500,52.787784
-19.505881,500,54.62464
-43.669256,500,55.939261
-42.204009,500,57.790303
-8.632847,500,59.047081
-2.238394,500,60.896041
-1.546094,500,62.171431
-16.04593,500,64.067787
6.582332,500,65.356709
-2.912628,500,66.629593
-10.888359,500,68.475448
-4.866037,500,69.778514
-0.082852,500,71.657065
-8.341523,500,72.943102
-0.561023,500,74.852628
2.198061,500,76.145376
-12.670804,500,77.98927
9.442435,500,79.274774
-20.012595,500,81.174104
14.967099,500,82.5038
19.254611,500,84.389218
18.993666,500,85.700613
22.053466,500,87.597096
14.72374,500,88.959423
25.341335,500,90.846969
8.485607,500,92.135519
-5.907212,500,94.004868
23.587853,500,95.354075
24.521624,500,97.283864
8.810825,500,98.630142
28.788029,500,100.568811
0.221159,500,101.870188
11.187328,500,103.775473
-21.106351,500,105.097678
14.948515,500,106.951677
27.491461,500,108.279944
12.472342,500,110.213591
28.453557,500,111.569553
25.361821,500,113.515126
27.059351,500,114.842749
14.222961,500,116.77022
15.005844,500,118.085476
4.408185,500,120.018285
12.959514,500,121.412651
22.686665,500,123.340844
28.176985,500,124.679755
29.419042,500,126.629926
18.367654,500,127.963254
25.607566,500,129.884708
24.433949,500,131.256286
18.204135,500,133.266989
35.085183,500,134.636146
7.907401,500,135.934967
37.234595,500,137.902259
19.043082,500,139.306062
17.419972,500,141.243182
22.329427,500,142.59547
23.408172,500,144.582063
14.6014,500,145.93654
14.824755,500,147.901704
23.188623,500,149.231323
27.929676,500,151.216116
23.050175,500,152.570694
24.580415,500,154.524371
18.527737,500,155.866273
20.943914,500,157.825758
26.919316,500,159.212107
23.063053,500,161.145448
16.939096,500,162.472344
26.469679,500,164.391523
16.481081,500,165.810033
21.282495,500,167.778982
19.915591,500,169.114107
-1.168357,500,171.073839
20.493462,500,172.436579
22.957758,500,174.318179
26.306119,500,175.660077
18.167037,500,177.610579
18.44833,500,178.950589
18.355441,500,180.900754
19.123941,500,182.260043
21.670988,500,184.264417
22.281888,500,185.665049
17.973585,500,187.60517
6.102938,500,188.949853
23.723511,500,190.912524
4.349334,500,192.278072
26.000854,500,194.243521
20.94652,500,195.634111
33.744448,500,197.570796
28.935898,500,198.909752
29.575262,500,200.800652
29.889646,500,202.140801
22.526982,500,204.129423
28.395134,500,205.469668
16.824672,500,206.766659
23.006444,500,208.716248
3.785766,500,210.015814
27.983299,500,212.003183
20.396042,500,213.309857
21.163509,500,215.253523
24.402594,500,216.639099
24.721299,500,218.593767
24.490715,500,219.937707
24.135186,500,221.954029
29.46885,500,223.275325
35.012943,500,225.213153
27.363631,500,226.558369
32.657466,500,228.474953
34.787758,500,229.846908
20.734234,500,231.754302
26.007514,500,233.148365
17.895686,500,235.088803
26.999504,500,236.40634
23.397486,500,238.466058
17.034702,500,239.878626
28.685269,500,241.958292
24.819136,500,243.300905
26.961531,500,245.260554
22.279589,500,246.610079
28.42114,500,248.593174
31.707138,500,249.957161
17.239095,500,251.891729
23.054536,500,253.224332
40.524522,500,255.173222
26.932935,500,256.564062
17.089104,500,258.494827
31.520903,500,259.855781
29.531598,500,261.838243
20.549838,500,263.205307
33.481983,500,265.179681
28.158923,500,266.520787
32.486141,500,268.474953
27.073432,500,269.8274
39.4625,500,271.755264
27.950147,500,273.145931
30.78808,500,275.112624
30.88991,500,276.486314
41.274783,500,277.794132
29.781651,500,279.73244
-24.915439,500,281.07288
21.468851,500,283.050075
33.799492,500,284.356405
43.381961,500,286.351166
26.609498,500,287.759833
22.11637,500,289.744553
25.472323,500,291.180917
36.785403,500,293.102456
27.895469,500,294.475446
31.834334,500,296.355483
25.107673,500,297.66026
32.900772,500,299.617409
-18.524386,500,301.002462
29.816098,500,302.953207
37.055638,500,304.303957
34.61481,500,306.203238
30.932462,500,307.567599
43.986451,500,309.503429
20.113471,500,310.807264
45.535456,500,312.749043
22.775351,500,314.10376
31.372527,500,316.03552
31.79947,500,317.439701
38.97202,500,319.409805
31.596168,500,320.772453
16.627879,500,322.698532
29.5358,500,323.989526
35.613726,500,325.924255
19.625945,500,327.281217
15.771591,500,329.207876
24.567755,500,330.56248
