#{"t_start": 1776276655.5563076, "env_id": "None"}
r,l,t
-20.327699,500,2.810065
-32.574373,500,4.083972
-38.822857,500,5.895281
-65.312296,500,7.140809
-63.626072,500,8.982059
-39.44563,500,10.233562
-47.515722,500,12.101684
-71.891177,500,13.334347
-46.057028,500,15.115081
-40.083546,500,16.330645
-64.469696,500,18.087993
-28.993587,500,19.300458
-57.070547,500,21.082053
-70.132967,500,22.327188
-43.989793,500,24.146256
-67.657166,500,25.348282
-68.634826,500,27.127321
-89.236701,500,28.39814
-40.960248,500,29.883745
-51.297439,500,31.139148
-42.759939,500,32.972187
-32.395922,500,34.261125
-107.948043,500,36.032224
-25.498506,500,37.272457
-50.202636,500,39.106547
-41.980533,500,40.386185
2.723635,500,42.180804
-45.022012,500,43.413618
-23.228128,500,45.262553
-28.663342,500,46.519484
-49.351412,500,48.358868
-22.792667,500,49.653281
-18.171158,500,51.486248
-39.638623,500,52.78643
-32.735557,500,54.623233
-26.379498,500,55.938164
-20.122471,500,57.789808
8.906203,500,59.045774
-29.259132,500,60.895681
-22.7995,500,62.170142
3.546186,500,64.06748
1.263033,500,65.355342
-28.077804,500,66.628292
-6.648781,500,68.474123
4.98611,500,69.777116
7.687603,500,71.656649
-25.771006,500,72.942945
13.107337,500,74.851389
13.001786,500,76.144128
-53.757695,500,77.988278
-3.143993,500,79.273489
33.321809,500,81.173591
14.208232,500,82.502537
14.048974,500,84.387985
14.407228,500,85.699402
19.419568,500,87.596837
21.439747,500,88.958102
15.650223,500,90.845711
-23.543626,500,92.13466
3.816326,500,94.004612
18.818299,500,95.353907
21.755905,500,97.283644
10.311211,500,98.629858
18.32138,500,100.568968
10.128426,500,101.869435
14.837683,500,103.775106
30.14498,500,105.096517
17.151114,500,106.951137
26.445939,500,108.278699
7.345113,500,110.212332
16.390692,500,111.568338
10.874696,500,113.513887
25.467683,500,114.84179
10.817925,500,116.768934
11.334419,500,118.084332
14.203833,500,120.017509
17.450529,500,121.412201
18.495999,500,123.339598
-7.00339,500,124.679395
13.732763,500,126.628649
17.664791,500,127.962077
22.707579,500,129.884403
31.954625,500,131.255018
26.773832,500,133.265743
22.51633,500,134.635226
13.895051,500,135.933808
27.282184,500,137.901628
20.004503,500,139.304995
17.997807,500,141.241899
24.304788,500,142.595161
-2.112216,500,144.581904
22.663158,500,145.936547
7.393462,500,147.90078
24.501568,500,149.231178
28.860682,500,151.21484
28.479937,500,152.569532
24.20066,500,154.52419
22.643728,500,155.86623
25.522551,500,157.824537
25.023889,500,159.210788
18.470712,500,161.144168
24.043161,500,162.471361
28.201347,500,164.391309
16.304367,500,165.809941
29.759429,500,167.777761
22.145347,500,169.112828
25.800735,500,171.072438
19.987551,500,172.437032
13.592649,500,174.3169
9.056416,500,175.660052
35.101647,500,177.609419
23.612653,500,178.949413
4.945254,500,180.899505
24.57598,500,182.258648
25.768859,500,184.263175
21.410176,500,185.664834
20.967301,500,187.605104
27.579949,500,188.949764
24.319525,500,190.911179
27.355528,500,192.276906
25.559144,500,194.244434
16.795745,500,195.633919
22.782413,500,197.570559
16.94557,500,198.909558
25.748301,500,200.800342
13.349876,500,202.139445
26.94961,500,204.128127
16.070289,500,205.468364
-11.70969,500,206.766585
29.976262,500,208.714962
15.764546,500,210.014488
27.444992,500,212.003201
29.372427,500,213.309603
-10.36155,500,215.252509
28.72839,500,216.638567
26.76817,500,218.592648
28.285559,500,219.937064
29.510397,500,221.952902
26.407313,500,223.274219
27.276678,500,225.21191
35.443229,500,226.556942
20.719794,500,228.473587
22.687357,500,229.845672
23.527601,500,231.753579
29.728501,500,233.147064
23.165613,500,235.087762
17.645111,500,236.405347
23.196097,500,238.466058
28.577949,500,239.878582
26.126154,500,241.957235
28.38763,500,243.299653
28.747635,500,245.259197
35.220311,500,246.608835
26.347908,500,248.592022
23.541697,500,249.956109
22.919891,500,251.891416
29.56139,500,253.223273
24.672992,500,255.173147
31.947421,500,256.563966
26.96457,500,258.493568
39.711479,500,259.854515
24.69791,500,261.837103
22.800193,500,263.204174
23.544859,500,265.179662
33.949433,500,266.519425
23.421724,500,268.473813
27.256252,500,269.826138
32.502359,500,271.754366
20.391995,500,273.144713
30.113076,500,275.111324
24.293004,500,276.485055
27.48869,500,277.792802
30.185925,500,279.731165
30.250076,500,281.072367
31.162863,500,283.048883
36.968525,500,284.355463
29.336129,500,286.349885
34.679831,500,287.758518
43.416679,500,289.743394
31.788114,500,291.179663
30.170487,500,293.101212
37.937389,500,294.474269
38.5295,500,296.355178
44.020499,500,297.65889
24.610692,500,299.61613
34.977326,500,301.001275
29.082907,500,302.952955
24.15819,500,304.302779
31.100169,500,306.202083
32.28074,500,307.567406
28.878485,500,309.503031
36.900022,500,310.80623
35.539676,500,312.748891
20.75139,500,314.102528
30.293552,500,316.034269
33.181005,500,317.439154
23.897589,500,319.409699
35.468983,500,320.771211
32.53417,500,322.697223
23.937881,500,323.988311
25.251154,500,325.924022
36.393711,500,327.279908
48.875858,500,329.206758
31.235838,500,330.561115
20.939069,500,332.43415
27.247996,500,333.812578
27.037602,500,335.736437
31.768405,500,337.099985
9.89103,500,339.06863
20.185152,500,340.45153
38.283693,500,342.415074
43.163477,500,343.734065
34.744555,500,345.663147
27.731327,500,346.982153
35.34953,500,348.302497
33.660079,500,350.303723
36.281957,500,351.609416
23.446755,500,353.576678
26.00393,500,354.940297
39.876174,500,356.888947
21.130616,500,358.271834
42.459322,500,360.174326
32.25131,500,361.472342
9.860438,500,363.356879
36.795514,500,364.681522
41.273749,500,366.643118
42.688329,500,367.983963
33.944732,500,369.890794
36.521692,500,371.26094
29.190182,500,373.152764
46.285373,500,374.474325
25.478624,500,376.425926
45.010034,500,377.741144
39.976463,500,379.666773
44.188383,500,381.008518
39.842035,500,382.945216
40.301656,500,384.26615
5.953799,500,386.181881
37.167318,500,387.501675
31.141891,500,389.393668
-30.620432,500,390.672712
46.502865,500,392.557753
21.866626,500,393.875352
45.772378,500,395.798103
40.764744,500,397.117941
52.275609,500,399.058875
43.462639,500,400.358532
35.952401,500,402.277695
49.854337,500,404.330721
46.721494,500,406.932265
30.851597,500,409.045341
50.533441,500,411.720986
33.016534,500,413.798087
33.284711,500,416.576043
36.844233,500,418.684833
27.300276,500,420.715098
46.478448,500,423.411744
17.152773,500,425.478379
42.230664,500,428.150463
63.290627,500,430.198759
33.231323,500,432.923975
52.368512,500,434.934733
55.781736,500,437.605361
47.495078,500,439.689889
46.530085,500,442.313002
52.266402,500,444.381569
39.522902,500,447.02237
42.816947,500,449.062914
45.51848,500,451.728682
29.76272,500,453.759996
35.876796,500,456.409912
44.377319,500,458.47696
44.834939,500,461.088869
51.778107,500,463.214912
47.288207,500,465.893305
42.796638,500,467.937543
45.121887,500,470.588101
44.238452,500,472.669661
50.775079,500,475.339956
32.287408,500,477.388467
31.186804,500,480.115632
34.964268,500,482.161518
48.993845,500,484.761507
52.501698,500,486.765785
43.710672,500,489.437937
61.160373,500,491.469807
43.02261,500,494.123045
39.960945,500,496.269375
39.065244,500,498.987581
44.52787,500,501.00476
51.97498,500,503.683056
42.615427,500,505.766787
37.78216,500,508.532415
39.514012,500,510.585327
58.004153,500,513.249896
56.311079,500,515.291292
32.011518,500,517.939954
60.526797,500,519.975706
30.819398,500,522.033698
49.104848,500,524.645596
40.745338,500,526.70623
42.650639,500,529.326649
56.221155,500,531.456572
28.734955,500,534.168472
32.688914,500,536.215379
61.052764,500,538.819946
51.260761,500,540.834577
51.863325,500,543.474214
65.209371,500,545.518173
32.516156,500,548.173064
40.278972,500,550.241457
34.220394,500,552.917292
46.217182,500,555.026505
49.559521,500,557.657766
50.877745,500,559.672463
50.768744,500,562.25462
50.804429,500,564.3695
29.937357,500,567.009166
58.996923,500,569.04373
53.649479,500,571.72973
48.254736,500,573.769887
61.248095,500,576.447056
44.121541,500,578.567457
42.126546,500,581.220543
38.242306,500,583.211496
65.026617,500,585.809821
70.154933,500,587.851763
51.753708,500,590.561589
35.638574,500,592.593296
46.011446,500,595.242379
61.229996,500,597.295015
52.71657,500,599.957343
45.808543,500,601.994275
50.54589,500,604.672805
66.609879,500,606.653507
43.383882,500,609.317183
58.274406,500,611.415675
50.263152,500,614.043067
42.73166,500,616.051128
22.233051,500,618.69235
43.738794,500,620.740384
55.131017,500,622.77146
50.039096,500,625.348585
53.539881,500,627.373164
46.271889,500,630.155877
40.429394,500,632.124152
53.972994,500,634.771016
37.779873,500,636.804515
61.174459,500,639.525889
41.887784,500,641.528084
40.754279,500,644.106938
46.202379,500,646.174753
55.908145,500,648.77082
60.704703,500,650.808669
36.930509,500,653.462029
51.065508,500,655.511875
52.806642,500,658.167488
57.31724,500,660.246604
69.206763,500,662.887905
51.826,500,664.888077
19.144288,500,667.431182
57.226368,500,669.499284
30.512861,500,672.093736
50.633419,500,674.15909
50.548927,500,676.736651
43.68856,500,678.774579
48.99892,500,681.39252
63.433102,500,683.37958
58.309895,500,685.921988
55.81568,500,687.941161
51.97229,500,690.609818
64.160326,500,692.570205
36.685812,500,695.155113
28.740116,500,697.155972
55.523926,500,699.784754
48.939504,500,701.807739
46.675851,500,704.440656
47.057996,500,706.43467
47.950395,500,709.01804
63.160145,500,711.013633
56.944197,500,713.646061
53.019021,500,715.694662
67.957295,500,718.332008
47.30633,500,720.386471
51.343259,500,722.427719
46.444043,500,725.037883
27.44191,500,727.043747
67.953614,500,729.722054
44.669804,500,731.756467
56.142323,500,734.332563
58.782829,500,736.426816
57.271068,500,739.017251
51.293382,500,741.012296
60.960196,500,743.620965
70.542447,500,745.670907
43.946487,500,748.264687
16.928114,500,750.319645
15.716272,500,752.907926
69.507597,500,754.889423
60.737879,500,757.473605
51.948845,500,759.523469
66.195285,500,762.093488
39.175134,500,764.146323
62.767751,500,766.75771
40.028593,500,768.711795
43.211574,500,771.331008
54.663299,500,773.370941
46.194449,500,776.009618
60.346364,500,777.994595
47.645148,500,780.594015
61.569555,500,782.560206
17.273243,500,785.16139
52.279617,500,787.186719
37.560378,500,789.839375
49.699728,500,791.862649
41.190503,500,794.490672
61.967465,500,796.465317
39.852284,500,799.048071
44.40956,500,801.096826
56.215076,500,803.728941
54.721091,500,805.675722
39.325571,500,808.225056
65.318051,500,810.210657
60.408585,500,812.762972
19.873963,500,814.846878
56.296574,500,817.448796
74.02902,500,819.362421
57.263523,500,821.350781
43.884307,500,823.959299
49.682637,500,825.985265
40.415579,500,828.598895
64.434335,500,830.616678
71.272387,500,833.384521
58.640915,500,835.425406
41.238554,500,838.11843
62.500746,500,840.137526
60.403496,500,842.717766
50.504608,500,844.692512
62.690941,500,847.285571
50.73876,500,849.304335
51.008599,500,851.852123
69.618413,500,853.905225
54.346558,500,856.476534
53.995373,500,858.420422
53.508954,500,861.081761
57.843005,500,863.069675
44.532934,500,865.657178
57.999719,500,867.661357
57.200582,500,870.221117
58.988737,500,872.296858
71.98759,500,874.949312
28.367239,500,877.037464
58.771571,500,879.65846
58.662687,500,881.73436
47.909429,500,884.319369
55.963337,500,886.34509
61.678993,500,888.890317
51.724562,500,891.071548
48.558661,500,893.643577
72.807759,500,895.636537
54.726138,500,898.300907
44.64347,500,900.281962
54.566345,500,902.891109
43.41748,500,904.86046
47.265318,500,907.413808
39.006961,500,909.461327
