#{"t_start": 1776276655.5548859, "env_id": "None"}
r,l,t
42.684326,500,367.98443
43.934041,500,369.891156
30.319548,500,371.261376
30.158646,500,373.152757
42.250544,500,374.474231
36.522869,500,376.425779
58.426064,500,377.741343
43.186667,500,379.667257
34.017753,500,381.008671
34.166026,500,382.945516
47.863514,500,384.264444
46.427534,500,386.1823
35.925189,500,387.501526
41.130788,500,389.394099
27.992349,500,390.672536
37.846653,500,392.557657
34.018814,500,393.875109
43.459067,500,395.797933
14.319038,500,397.117841
48.510823,500,399.059345
45.732164,500,400.358572
10.887607,500,402.277834
41.536646,500,404.330856
44.823847,500,406.931693
36.653744,500,409.045365
37.299807,500,411.721083
33.647372,500,413.798161
45.036226,500,416.576035
35.937671,500,418.684466
30.34452,500,420.714298
9.080629,500,423.411049
46.168418,500,425.478382
36.787569,500,428.150506
50.241451,500,430.198685
45.275689,500,432.924129
-11.552311,500,434.934784
38.44964,500,437.604717
39.973528,500,439.690114
36.663082,500,442.312904
40.486403,500,444.381697
51.495721,500,447.02239
34.444693,500,449.062995
34.874327,500,451.728763
-13.078175,500,453.760133
50.324441,500,456.410002
38.287766,500,458.476996
41.738907,500,461.089013
40.510866,500,463.214227
31.585411,500,465.893378
53.817702,500,467.937679
46.199396,500,470.588178
48.71827,500,472.668872
35.829515,500,475.339285
45.891502,500,477.388602
42.351267,500,480.114872
46.943284,500,482.161609
43.194111,500,484.761433
-0.435193,500,486.765868
53.168486,500,489.437989
43.9643,500,491.469911
46.292303,500,494.123094
35.636565,500,496.269513
42.991219,500,498.987606
38.366546,500,501.004189
45.61035,500,503.683261
45.483014,500,505.766941
48.581166,500,508.532517
37.117728,500,510.585548
50.049838,500,513.250059
56.898042,500,515.291417
39.301539,500,517.939035
53.316066,500,519.97497
44.677616,500,522.033695
36.34507,500,524.645568
35.141787,500,526.706404
53.169841,500,529.326672
35.836108,500,531.455956
47.903793,500,534.167779
19.638841,500,536.215435
51.152298,500,538.820038
68.230855,500,540.834604
52.512221,500,543.474292
51.785784,500,545.518235
45.790396,500,548.173197
63.776216,500,550.241524
52.027737,500,552.916505
52.302124,500,555.026646
50.547634,500,557.657911
46.53195,500,559.672625
53.208652,500,562.254694
62.986345,500,564.369597
47.93001,500,567.00906
46.206077,500,569.043863
24.389859,500,571.729791
44.450638,500,573.769998
56.518555,500,576.447017
34.03109,500,578.566674
36.260839,500,581.220662
64.260974,500,583.211613
56.059756,500,585.809853
46.923104,500,587.85186
47.238976,500,590.561598
54.940409,500,592.593375
45.952567,500,595.242471
9.181642,500,597.29523
51.989889,500,599.957454
57.257668,500,601.99427
54.355575,500,604.672085
25.040602,500,606.65363
64.024423,500,609.31724
