rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/std,train/explained_variance,train/loss,train/clip_fraction,train/n_updates,train/clip_range,train/learning_rate
500.0,31,1297,126976,97,5.27788201,2.155091615766287,0.007969284,-0.012974581193702761,-9.671559017896652,0.8718544840812683,0.7760076522827148,0.7839871048927307,0.171337890625,294,0.15,0.00028156799999999994
500.0,32,1296,131072,101,7.325943479999999,2.0449853599071504,0.0069380337,-0.014417146655614489,-9.56859518289566,0.8664391040802002,0.8182294368743896,0.8821741342544556,0.173974609375,304,0.15,0.00028095359999999995
500.0,33,1295,135168,104,8.356397340000001,2.563736230134964,0.0055190995,-0.010925205374951475,-9.569604259729385,0.8581395149230957,0.8417928218841553,1.3088889122009277,0.133154296875,314,0.15,0.00028033919999999996
500.0,34,1293,139264,107,10.0791258,2.858199904114008,0.010245519,-0.014333374460693448,-9.569466084241867,0.854389488697052,0.866267204284668,1.2871167659759521,0.1600830078125,324,0.15,0.00027972479999999997
500.0,35,1291,143360,111,11.231633779999997,2.4342312522232534,0.007830864,-0.020716718095354737,-9.56644048690796,0.8487002849578857,0.8215276598930359,1.0971784591674805,0.2386962890625,334,0.15,0.0002791104
500.0,36,1289,147456,114,12.813209090000003,1.741701815277338,0.007822355,-0.012594157273997552,-9.582715541124344,0.8455333709716797,0.8767991065979004,0.8408941626548767,0.1332763671875,344,0.15,0.000278496
500.0,37,1288,151552,117,14.41049455,1.886326937377453,0.008548383,-0.00980686853872612,-9.56897188425064,0.8502996563911438,0.8732401132583618,0.8340135216712952,0.1341796875,354,0.15,0.0002778816
500.0,38,1286,155648,121,15.044881069999999,1.7038905903697015,0.0072889472,-0.01626449401373975,-9.56927905678749,0.8520805835723877,0.8632453083992004,0.7109031677246094,0.1671630859375,364,0.15,0.0002772672
500.0,39,1284,159744,124,14.84966272,1.355603476241231,0.009428831,-0.013214588294795248,-9.557673531770707,0.8535905480384827,0.9108374118804932,0.5860458016395569,0.16279296875,374,0.15,0.00027665279999999995
500.0,40,1282,163840,127,14.884876819999999,1.7315196946263314,0.0069117444,-0.010753019129333552,-9.554372292757034,0.8532000184059143,0.9068527817726135,0.6736999154090881,0.1436767578125,384,0.15,0.0002760384
500.0,41,1280,167936,131,15.043462470000001,1.824142125993967,0.00693846,-0.008955542583134957,-9.515773743391037,0.8566986918449402,0.9085351824760437,0.7320253849029541,0.149658203125,394,0.15,0.00027542399999999997
500.0,42,1279,172032,134,16.23238606,1.2274457305669784,0.008321959,-0.013485716561262961,-9.54056059718132,0.860715925693512,0.9283117055892944,0.5821301937103271,0.1715087890625,404,0.15,0.0002748096
500.0,43,1277,176128,137,16.913347589999997,1.3862082976847887,0.008430006,-0.011487656662939116,-9.565366250276565,0.8425652384757996,0.914710283279419,0.8014272451400757,0.192431640625,414,0.15,0.0002741952
500.0,44,1275,180224,141,17.42200266,1.6041220553219318,0.0071867164,-0.011434309426113032,-9.608224332332611,0.8402900695800781,0.9021424651145935,0.5768135190010071,0.1482421875,424,0.15,0.00027358079999999994
500.0,45,1274,184320,144,17.758101710000002,1.4082257464528083,0.009437602,-0.013641930464655162,-9.577226948738097,0.829434335231781,0.9140143394470215,0.6914247870445251,0.1807373046875,434,0.15,0.0002729664
500.0,46,1272,188416,148,18.14700531,1.3598883219063282,0.009730966,-0.014794285835523623,-9.568869102001191,0.8217537999153137,0.9320383071899414,0.527807891368866,0.186865234375,444,0.15,0.00027235199999999996
500.0,47,1271,192512,151,18.13090228,1.1041459292173386,0.0077705635,-0.008577590485219843,-9.54874479174614,0.8290391564369202,0.9329454302787781,0.3096432089805603,0.0970947265625,454,0.15,0.00027173759999999996
500.0,48,1269,196608,154,18.205570990000002,1.0754189450293778,0.0070008878,-0.014449346260516905,-9.5558096408844,0.8252501487731934,0.9489065408706665,0.4695586860179901,0.164208984375,464,0.15,0.00027112319999999997
500.0,49,1268,200704,158,18.58081605,1.176245391368866,0.008775872,-0.012378935435845052,-9.527452796697617,0.82618647813797,0.9402205348014832,0.5438909530639648,0.1698486328125,474,0.15,0.0002705088
500.0,50,1267,204800,161,18.982092320000003,0.7751654291525483,0.006673066,-0.00983591891999822,-9.516595369577407,0.8212937712669373,0.9552631378173828,0.3216296136379242,0.1613525390625,484,0.15,0.0002698944
500.0,51,1266,208896,164,19.53310177,0.8553717561066151,0.0057300124,-0.00760369172639912,-9.488440155982971,0.8162893652915955,0.9456567168235779,0.39883384108543396,0.114501953125,494,0.15,0.00026927999999999994
500.0,52,1265,212992,168,19.39693145,1.073471285775304,0.0075476663,-0.013967746900743806,-9.500983828306198,0.8095746040344238,0.9380246996879578,0.3213476240634918,0.172509765625,504,0.15,0.0002686656
500.0,53,1264,217088,171,19.567118469999997,0.7859900187700987,0.008612953,-0.015447999534080737,-9.461869490146636,0.801348865032196,0.9437166452407837,0.28613364696502686,0.199951171875,514,0.15,0.00026805119999999996
500.0,54,1263,221184,175,19.4363612,0.8606431309133769,0.006670042,-0.01231307963753352,-9.463164514303207,0.793734073638916,0.9586912989616394,0.2504192590713501,0.1524658203125,524,0.15,0.00026743679999999997
500.0,55,1263,225280,178,19.866363439999997,0.710173885896802,0.008840262,-0.009104256323189475,-9.422224628925324,0.7876722812652588,0.960464358329773,0.2887701690196991,0.11123046875,534,0.15,0.0002668224
500.0,56,1261,229376,181,19.619791629999998,1.1470956165343522,0.007862969,-0.011517320951679722,-9.388098388910294,0.786003589630127,0.9306113719940186,0.5038459300994873,0.13447265625,544,0.15,0.000266208
500.0,57,1260,233472,185,20.199087450000004,0.9856103274971246,0.009045854,-0.013240841947845184,-9.38780066370964,0.7859525680541992,0.9405666589736938,0.33031827211380005,0.199072265625,554,0.15,0.0002655936
500.0,58,1260,237568,188,20.20089349,1.0041632544249297,0.0068668392,-0.009857790674141142,-9.364442336559296,0.7884212136268616,0.9471969604492188,0.310607373714447,0.1612060546875,564,0.15,0.0002649792
500.0,59,1258,241664,191,20.472279410000002,1.1072547301650046,0.009686664,-0.017545949932537042,-9.38517673611641,0.7761257290840149,0.9360119104385376,0.3598926365375519,0.2268310546875,574,0.15,0.00026436479999999995
500.0,60,1258,245760,195,20.21104858,1.2880732219666242,0.008135486,-0.011973466971539892,-9.29012709259987,0.7728691101074219,0.9276943802833557,0.34331297874450684,0.1580810546875,584,0.15,0.00026375039999999996
500.0,61,1257,249856,198,20.37553979,0.7382459191605448,0.0086301165,-0.015955444096471184,-9.317976319789887,0.7717193961143494,0.9614851474761963,0.2912902235984802,0.219873046875,594,0.15,0.00026313599999999997
500.0,62,1257,253952,201,20.891988930000004,0.9077189702540636,0.010867714,-0.01595454535272438,-9.259854888916015,0.7624008059501648,0.953182578086853,0.3987868130207062,0.192822265625,604,0.15,0.0002625216
500.0,63,1256,258048,205,20.63634168,0.6108497975394129,0.006465245,-0.010798908963624853,-9.216964113712312,0.7598406672477722,0.9739169478416443,0.22335171699523926,0.14990234375,614,0.15,0.0002619072
500.0,64,1256,262144,208,20.96610135,0.8933559857308865,0.0076476685,-0.01077733157435432,-9.231025540828705,0.7477017045021057,0.9505345821380615,0.38940170407295227,0.1664306640625,624,0.15,0.0002612928
500.0,65,1255,266240,212,21.240811209999997,1.2730034977197646,0.0061820243,-0.009348939341725782,-9.206774282455445,0.7409923076629639,0.94008868932724,0.7171974778175354,0.1695556640625,634,0.15,0.0002606784
500.0,66,1255,270336,215,21.2343528,0.6498464245349169,0.007332579,-0.013915205592638813,-9.232757836580276,0.7396780848503113,0.9683091044425964,0.2361227571964264,0.197607421875,644,0.15,0.00026006399999999995
500.0,67,1254,274432,218,21.43576497,0.7030568161979318,0.004802827,-0.010855698847444728,-9.241299456357956,0.7417535185813904,0.9564119577407837,0.30837082862854004,0.1305908203125,654,0.15,0.0002594496
500.0,68,1253,278528,222,22.04732062,0.4332899864763021,0.009430821,-0.0175223847880261,-9.286629468202591,0.7318234443664551,0.9782524704933167,0.1303604692220688,0.21064453125,664,0.15,0.00025883519999999997
500.0,69,1253,282624,225,22.50822628,0.49238728284835814,0.009435162,-0.0133067075163126,-9.290018433332444,0.7329829335212708,0.9770352244377136,0.1923578679561615,0.1859130859375,674,0.15,0.0002582208
500.0,70,1252,286720,228,23.284491039999992,0.5781698066741228,0.0087144375,-0.017251895950175823,-9.329667830467224,0.732240617275238,0.9791826009750366,0.19681338965892792,0.1874755859375,684,0.15,0.0002576064
500.0,71,1252,290816,232,23.773776379999994,0.721019996330142,0.008545129,-0.013178741859155707,-9.308472341299057,0.7370913028717041,0.9729903936386108,0.19614556431770325,0.1571533203125,694,0.15,0.000256992
500.0,72,1251,294912,235,23.921552329999994,0.5462219545617699,0.0093815,-0.014425466442480684,-9.333124148845673,0.7296573519706726,0.9779170751571655,0.1877145767211914,0.1934814453125,704,0.15,0.0002563776
500.0,73,1250,299008,239,24.198612129999997,0.6636924009770155,0.0073792194,-0.010670528147602453,-9.29859675168991,0.7278835773468018,0.9557477235794067,0.27399367094039917,0.119482421875,714,0.15,0.00025576319999999996
500.0,74,1249,303104,242,24.0098986,0.4375874323770404,0.008894055,-0.013392196703352965,-9.299468737840652,0.731080949306488,0.9787495136260986,0.13680493831634521,0.1494140625,724,0.15,0.00025514879999999997
500.0,75,1249,307200,245,23.883065109999997,0.49867445658892395,0.00947276,-0.013967838294047397,-9.30904769897461,0.7298831939697266,0.9710273146629333,0.2419508993625641,0.1855712890625,734,0.15,0.0002545344
500.0,76,1248,311296,249,25.045507660000002,0.47565217800438403,0.011459451,-0.015163153986213729,-9.31380142569542,0.7173377871513367,0.977185845375061,0.16402366757392883,0.254736328125,744,0.15,0.00025392
500.0,77,1248,315392,252,24.605519290000004,0.46799829229712486,0.00856359,-0.00836863356817048,-9.296873301267624,0.7164179682731628,0.9790285229682922,0.18035537004470825,0.164208984375,754,0.15,0.0002533056
500.0,78,1247,319488,256,25.594282149999998,0.8831535059958696,0.009242162,-0.015267232187034097,-9.317033219337464,0.7203874588012695,0.9549110531806946,0.2827296853065491,0.19873046875,764,0.15,0.00025269119999999994
500.0,79,1247,323584,259,25.821216409999998,0.60927600748837,0.007743299,-0.018217126157833264,-9.304760301113129,0.7188485264778137,0.9727919697761536,0.2922280728816986,0.1870849609375,774,0.15,0.0002520768
500.0,80,1246,327680,262,26.084361679999997,0.6262933490797877,0.008248947,-0.00929926567041548,-9.295414513349533,0.714277982711792,0.9758548140525818,0.2420981377363205,0.134765625,784,0.15,0.0002514624
500.0,81,1246,331776,266,26.079419559999998,0.6319556057453155,0.009297458,-0.018870312682702207,-9.2995865046978,0.7145023941993713,0.9743393659591675,0.2227918803691864,0.2083740234375,794,0.15,0.00025084799999999997
500.0,82,1245,335872,269,26.038224870000004,0.660835487395525,0.007107704,-0.012746767583303153,-9.289313286542892,0.7061054706573486,0.9722426533699036,0.3073752522468567,0.1672607421875,804,0.15,0.0002502336
500.0,83,1245,339968,273,26.338043310000003,0.7563265018165112,0.009718236,-0.013662213942734525,-9.269013768434524,0.7062728404998779,0.9666551351547241,0.32109564542770386,0.2134765625,814,0.15,0.0002496192
500.0,84,1244,344064,276,27.153692550000002,0.5085804341360927,0.008922797,-0.016361891457927415,-9.225618541240692,0.7046213150024414,0.9790387749671936,0.1400134265422821,0.1876953125,824,0.15,0.0002490048
500.0,85,1244,348160,279,26.92994339,0.6273624567314983,0.009043325,-0.01634157414373476,-9.221209824085236,0.7036263942718506,0.9783998727798462,0.2521967887878418,0.1931884765625,834,0.15,0.0002483904
500.0,86,1244,352256,283,26.93393889,0.8991419196128845,0.0061785523,-0.011934299385757186,-9.187101620435715,0.7002139091491699,0.9450313448905945,0.3386876881122589,0.157763671875,844,0.15,0.00024777599999999995
500.0,87,1243,356352,286,27.338920129999998,1.288827631995082,0.008584609,-0.012291915094829164,-9.167948269844056,0.697017252445221,0.9386032223701477,0.5242580771446228,0.1654052734375,854,0.15,0.00024716159999999996
500.0,88,1242,360448,290,27.215765879999996,0.8370803534984589,0.007847512,-0.017239932392840274,-9.158628576993943,0.697502851486206,0.9661378860473633,0.2997135519981384,0.2235595703125,864,0.15,0.00024654719999999997
500.0,89,1242,364544,293,28.174319650000008,0.8311653159558773,0.009671627,-0.011202392808627337,-9.145802587270737,0.6964950561523438,0.9609370827674866,0.28494852781295776,0.1709228515625,874,0.15,0.0002459328
500.0,90,1242,368640,296,27.643231810000007,0.7771976610645652,0.009791713,-0.015494474963634274,-9.160968780517578,0.6911513209342957,0.9707564115524292,0.34934818744659424,0.158251953125,884,0.15,0.0002453184
500.0,91,1242,372736,300,27.36355062,1.1937630198895932,0.0057784957,-0.014411445477162488,-9.18075334429741,0.6923069357872009,0.9457341432571411,0.3774685263633728,0.1390380859375,894,0.15,0.000244704
500.0,92,1242,376832,303,27.583764439999996,1.803087005764246,0.008469408,-0.010035454663739073,-9.1479383289814,0.6929911971092224,0.9258090853691101,0.6019212603569031,0.1865966796875,904,0.15,0.00024408959999999997
500.0,93,1241,380928,306,28.16957341000001,0.9283570013940334,0.006532849,-0.012496773111342918,-9.156256055831909,0.6875712275505066,0.961423933506012,0.4751408100128174,0.1485107421875,914,0.15,0.00024347519999999998
500.0,94,1241,385024,310,28.381790049999996,0.9128347266465425,0.009141139,-0.01702922554104589,-9.14969083070755,0.6855219006538391,0.9667876958847046,0.45989447832107544,0.1744384765625,924,0.15,0.0002428608
500.0,95,1241,389120,313,27.856361679999996,1.1317889209836722,0.008855786,-0.01985262083762791,-9.130021405220031,0.676853358745575,0.9530426263809204,0.4135276973247528,0.202001953125,934,0.15,0.00024224639999999997
500.0,96,1241,393216,316,28.141802910000003,0.7954154251143336,0.008723304,-0.01569680188840721,-9.05102806687355,0.6715357899665833,0.9688079357147217,0.17710542678833008,0.1845458984375,944,0.15,0.00024163199999999995
500.0,97,1240,397312,320,28.128393859999996,0.8767047539353371,0.008561173,-0.023801464008283802,-9.0623082280159,0.6664702296257019,0.9603750705718994,0.33775490522384644,0.2182861328125,954,0.15,0.0002410176
500.0,98,1241,401408,323,28.693555899999996,0.5478375194594264,0.0073129046,-0.012472526662168092,-9.03600270152092,0.6581146121025085,0.9811675548553467,0.15769878029823303,0.1358642578125,964,0.15,0.0002404032
500.0,99,1240,405504,326,29.327827230000008,0.7883920565247535,0.011283867,-0.01753196685895091,-9.032152605056762,0.6567844748497009,0.9701447486877441,0.2848428189754486,0.2392822265625,974,0.15,0.00023978879999999998
500.0,100,1240,409600,330,29.734382010000004,0.7982780791819095,0.010900412,-0.018529415587545374,-9.07069736123085,0.6538150906562805,0.969042956829071,0.31171461939811707,0.222705078125,984,0.15,0.00023917439999999996
500.0,101,1240,413696,333,29.923002659999998,1.0991000734269618,0.01129084,-0.01343192178173922,-9.02012820839882,0.659372866153717,0.9602895379066467,0.46777158975601196,0.2209228515625,994,0.15,0.00023856
500.0,102,1240,417792,336,30.460071680000002,0.7618257012218237,0.010129464,-0.017723978412686848,-9.021297097206116,0.6549307703971863,0.9689244627952576,0.32124876976013184,0.19140625,1004,0.15,0.00023794559999999997
500.0,103,1239,421888,340,30.484281430000006,0.7202559970319271,0.009422275,-0.010628792141505982,-9.027404773235322,0.6474770307540894,0.9711664319038391,0.25826218724250793,0.187353515625,1014,0.15,0.00023733119999999998
500.0,104,1239,425984,343,31.0100853,0.7007616022601724,0.0061140754,-0.00956795589881949,-9.054699903726577,0.6535707116127014,0.9735236167907715,0.2924271821975708,0.1335693359375,1024,0.15,0.00023671679999999996
500.0,105,1239,430080,346,30.789804650000004,0.945537818968296,0.009577322,-0.014963274955516682,-9.062316370010375,0.6517027020454407,0.9692831635475159,0.30580756068229675,0.1837890625,1034,0.15,0.0002361024
500.0,106,1239,434176,350,30.860491380000003,1.1838566731661557,0.0068649417,-0.007661277692386647,-9.074404156208038,0.6490166783332825,0.9360201954841614,0.40731456875801086,0.1633056640625,1044,0.15,0.00023548799999999998
500.0,107,1239,438272,353,31.390782699999995,0.6531347775831818,0.009335597,-0.018268953508231787,-9.056834489107132,0.6495309472084045,0.977234423160553,0.21697448194026947,0.2318115234375,1054,0.15,0.0002348736
500.0,108,1239,442368,357,31.130675389999997,1.2300895586609841,0.0072837668,-0.011822119545831811,-9.061409252882004,0.6495561599731445,0.9430213570594788,0.5124786496162415,0.153271484375,1064,0.15,0.00023425919999999997
500.0,109,1239,446464,360,31.64645284,0.9016573339700699,0.009711981,-0.01827855180890765,-9.086773055791856,0.6489003300666809,0.9659551382064819,0.3733426332473755,0.2116455078125,1074,0.15,0.00023364479999999998
500.0,110,1239,450560,363,31.362363520000002,0.6875126296654344,0.008620478,-0.018826145137427374,-9.082511514425278,0.6455426812171936,0.9725205898284912,0.3571840524673462,0.2042236328125,1084,0.15,0.00023303039999999998
500.0,111,1239,454656,366,31.81480916,1.4303727488964797,0.0127057675,-0.017756888794247062,-9.041358298063278,0.6482295393943787,0.9242116212844849,0.8114100694656372,0.280517578125,1094,0.15,0.00023241599999999996
500.0,112,1238,458752,370,32.34539879999999,0.7708004601299763,0.008322184,-0.01360718941068626,-9.117812561988831,0.6512187123298645,0.9708067774772644,0.29163768887519836,0.195703125,1104,0.15,0.0002318016
500.0,113,1238,462848,373,32.58829423,0.9419118139892817,0.006222099,-0.010863271179550793,-9.085270112752914,0.6526471972465515,0.9589030146598816,0.3432830274105072,0.1396240234375,1114,0.15,0.00023118719999999998
500.0,114,1238,466944,376,32.73125862,1.1719365868717433,0.010061334,-0.019988108807592653,-9.094758260250092,0.6518908143043518,0.9586524963378906,0.40862181782722473,0.2171630859375,1124,0.15,0.0002305728
500.0,115,1238,471040,380,33.596632760000006,1.4913472302258015,0.008962006,-0.01811034991987981,-9.094131845235825,0.6458049416542053,0.9358164668083191,0.619128942489624,0.1830322265625,1134,0.15,0.00022995839999999997
500.0,116,1238,475136,383,34.11646355,1.0235095113515853,0.010655001,-0.016059319635678547,-9.061061757802964,0.6395891308784485,0.9568501710891724,0.4025121331214905,0.1768310546875,1144,0.15,0.000229344
500.0,117,1238,479232,386,34.36378898,1.5483491271734238,0.008690765,-0.013180199578346218,-9.07702100276947,0.6369215846061707,0.9255774617195129,0.7571377158164978,0.185009765625,1154,0.15,0.00022872959999999999
500.0,118,1239,483328,390,34.53786385,0.9530669040977955,0.009076936,-0.011403587857785169,-9.012373185157776,0.6296469569206238,0.9647381901741028,0.43352270126342773,0.170703125,1164,0.15,0.00022811519999999997
500.0,119,1239,487424,393,34.93558144000001,1.3529281493276357,0.009414325,-0.0225501411157893,-8.96170666217804,0.62520831823349,0.918496310710907,0.5612221956253052,0.21201171875,1174,0.15,0.00022750079999999998
500.0,120,1238,491520,396,35.620026,1.2039280790835618,0.007897886,-0.014311294021899812,-9.002075046300888,0.6271017789840698,0.952182412147522,0.41147613525390625,0.183935546875,1184,0.15,0.00022688639999999996
500.0,121,1239,495616,399,36.73752102,1.08418259434402,0.013128892,-0.022875402294448576,-8.972494924068451,0.6148105263710022,0.955024242401123,0.45585519075393677,0.228076171875,1194,0.15,0.000226272
500.0,122,1235,499712,404,36.98466061,1.2788341410458088,0.006692768,-0.01322263278416358,-8.961048740148545,0.6095306277275085,0.9384816884994507,0.5265173316001892,0.195263671875,1204,0.15,0.00022565759999999997
500.0,123,1230,503808,409,37.57184005999999,1.211519441753626,0.01094736,-0.017406112371827476,-8.92886124253273,0.608133852481842,0.9569679498672485,0.4650452733039856,0.2025390625,1214,0.15,0.00022504319999999998
500.0,124,1225,507904,414,37.5560305,1.9482202269136906,0.011739278,-0.02061917367973365,-8.935775309801102,0.6068289875984192,0.9265192747116089,1.0092649459838867,0.239111328125,1224,0.15,0.0002244288
500.0,125,1221,512000,419,37.898405430000004,1.314709437638521,0.010851715,-0.022310389881022276,-8.91851755976677,0.6054441332817078,0.9526529312133789,0.5922409296035767,0.2071044921875,1234,0.15,0.0002238144
500.0,126,1216,516096,424,38.09198696,1.291543259471655,0.013013614,-0.020271617046091706,-8.935600417852402,0.6038548350334167,0.9461960792541504,0.5373184084892273,0.228515625,1244,0.15,0.00022319999999999998
500.0,127,1212,520192,428,38.22948948,1.4532079547643661,0.008595535,-0.015139981373795307,-8.938892555236816,0.6032657027244568,0.9395654201507568,0.5471682548522949,0.1934326171875,1254,0.15,0.00022258559999999996
500.0,128,1208,524288,433,37.55004375,1.0945775698870421,0.008461142,-0.01565541583986487,-8.91630036830902,0.5952056050300598,0.9610268473625183,0.3894309401512146,0.1887451171875,1264,0.15,0.0002219712
500.0,129,1204,528384,438,37.890296240000005,1.852565633505583,0.008936644,-0.017566781754430848,-8.916275936365128,0.5932378172874451,0.9229497313499451,0.674875020980835,0.1804443359375,1274,0.15,0.0002213568
500.0,130,1200,532480,443,38.964843990000006,1.1136291425675153,0.008895287,-0.013585324662562926,-8.92101646065712,0.5919168591499329,0.9574494957923889,0.46536171436309814,0.177294921875,1284,0.15,0.00022074239999999998
500.0,131,1197,536576,448,39.321254339999996,1.6492395155131816,0.011304202,-0.013968495550216176,-8.921549290418625,0.5905207991600037,0.9337834119796753,0.7702778577804565,0.1776123046875,1294,0.15,0.00022012799999999996
500.0,132,1193,540672,452,38.533406250000006,1.216553222388029,0.009254733,-0.014969312257017009,-8.896303343772889,0.5835782289505005,0.9490954875946045,0.4988768696784973,0.18603515625,1304,0.15,0.00021951359999999994
