time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,1069,128,0,,,,,,,,,,,,
2,1030,256,0,0.15,0.0002625,0.17942195758223534,-0.0243833065032959,-0.0018317918293178082,-1.6094067096710205,6.828876e-05,2,0.0,0.06792421638965607,,
3,1036,384,0,0.15,0.000225,0.33387867361307144,0.3576018810272217,-0.0005151848308742046,-1.6092602014541626,3.3459626e-05,4,0.0,0.13760696351528168,,
4,1035,512,0,0.15,0.00018749999999999998,0.2893436998128891,-0.4004242420196533,-0.0005345144309103489,-1.6090515553951263,1.3380777e-05,6,0.0,0.11700765788555145,,
5,1049,640,0,0.15,0.00015,0.251508217304945,0.08618128299713135,-0.00018702680245041847,-1.6089546382427216,8.966308e-06,8,0.0,0.11872375756502151,,
6,1038,768,0,0.15,0.0001125,0.21427489444613457,-0.5201127529144287,-0.00015461351722478867,-1.608888179063797,2.491288e-06,10,0.0,0.09967975318431854,,
7,1042,896,0,0.15,7.5e-05,0.40651191025972366,-0.5418721437454224,-0.00011887820437550545,-1.6088678240776062,1.6451813e-06,12,0.0,0.1890687346458435,,
8,1029,1024,0,0.15,3.75e-05,0.3034549281001091,-0.4601757526397705,-0.0001021726056933403,-1.6088424026966095,4.2887405e-07,14,0.0,0.12959666550159454,-1.338541,501.0
